nome_municipio,id_municipio,mat_infantil_creche,mat_infantil_pre_escola,mat_fundamental,mat_fundamental_1,mat_fundamental_2,mat_medio,ano
Acrelândia,1200013,230,486,2325,1259,1066,606,2019
Acrelândia,1200013,236,447,2346,1254,1092,697,2020
Acrelândia,1200013,303,410,2253,1226,1027,747,2021
Acrelândia,1200013,273,408,2236,1231,1005,664,2022
Acrelândia,1200013,292,456,2157,1171,986,717,2023
Assis Brasil,1200054,46,356,2533,1640,893,315,2019
Assis Brasil,1200054,46,327,2600,1507,1093,330,2020
Assis Brasil,1200054,57,289,2536,1398,1138,394,2021
Assis Brasil,1200054,63,319,2693,1405,1288,439,2022
Assis Brasil,1200054,43,433,2623,1312,1311,353,2023
Brasiléia,1200104,326,661,4329,2622,1707,921,2019
Brasiléia,1200104,324,692,4288,2609,1679,930,2020
Brasiléia,1200104,272,763,4296,2630,1666,965,2021
Brasiléia,1200104,289,806,4335,2700,1635,1101,2022
Brasiléia,1200104,330,873,4371,2640,1731,891,2023
Bujari,1200138,220,325,2494,1425,1069,493,2019
Bujari,1200138,217,306,2581,1411,1170,579,2020
Bujari,1200138,204,282,2569,1433,1136,636,2021
Bujari,1200138,249,270,2391,1291,1100,621,2022
Bujari,1200138,222,385,2354,1310,1044,586,2023
Capixaba,1200179,35,438,2010,1134,876,423,2019
Capixaba,1200179,69,426,1902,1073,829,383,2020
Capixaba,1200179,117,418,1865,1074,791,406,2021
Capixaba,1200179,209,403,1917,1091,826,437,2022
Capixaba,1200179,138,411,1846,1094,752,444,2023
Cruzeiro do Sul,1200203,1877,3480,18610,10447,8163,5118,2019
Cruzeiro do Sul,1200203,1747,3624,18759,9913,8846,5114,2020
Cruzeiro do Sul,1200203,1571,3382,18823,10019,8804,5412,2021
Cruzeiro do Sul,1200203,1840,3161,17983,9720,8263,5262,2022
Cruzeiro do Sul,1200203,1878,3396,17799,9684,8115,5308,2023
Epitaciolândia,1200252,275,556,2661,1614,1047,675,2019
Epitaciolândia,1200252,267,605,2757,1751,1006,693,2020
Epitaciolândia,1200252,175,597,2749,1687,1062,663,2021
Epitaciolândia,1200252,229,549,2873,1691,1182,626,2022
Epitaciolândia,1200252,235,621,2859,1685,1174,653,2023
Feijó,1200302,0,1238,8045,5056,2989,1819,2019
Feijó,1200302,170,1231,8186,5093,3093,2003,2020
Feijó,1200302,168,1112,8454,5208,3246,2042,2021
Feijó,1200302,181,1220,8252,4981,3271,2248,2022
Feijó,1200302,264,1274,8360,5031,3329,1980,2023
Jordão,1200328,238,247,2620,1556,1064,467,2019
Jordão,1200328,186,299,2682,1551,1131,487,2020
Jordão,1200328,209,304,2762,1606,1156,532,2021
Jordão,1200328,219,348,2540,1433,1107,564,2022
Jordão,1200328,222,463,2776,1606,1170,491,2023
Manoel Urbano,1200344,121,316,2261,1488,773,407,2019
Manoel Urbano,1200344,120,253,2355,1554,801,412,2020
Manoel Urbano,1200344,127,282,2462,1572,890,433,2021
Manoel Urbano,1200344,138,348,2368,1544,824,500,2022
Manoel Urbano,1200344,180,399,2353,1491,862,435,2023
Marechal Thaumaturgo,1200351,341,615,4507,2632,1875,1066,2019
Marechal Thaumaturgo,1200351,231,565,4939,2816,2123,1153,2020
Marechal Thaumaturgo,1200351,279,575,4433,2501,1932,1177,2021
Marechal Thaumaturgo,1200351,334,544,4391,2435,1956,1109,2022
Marechal Thaumaturgo,1200351,285,611,4329,2402,1927,1142,2023
Mâncio Lima,1200336,455,804,3960,2300,1660,876,2019
Mâncio Lima,1200336,453,803,4080,2281,1799,977,2020
Mâncio Lima,1200336,503,674,4100,2225,1875,995,2021
Mâncio Lima,1200336,531,681,3995,2177,1818,1047,2022
Mâncio Lima,1200336,680,733,3757,2009,1748,1013,2023
Plácido de Castro,1200385,154,556,2896,1650,1246,740,2019
Plácido de Castro,1200385,147,550,2824,1601,1223,720,2020
Plácido de Castro,1200385,177,541,2657,1568,1089,694,2021
Plácido de Castro,1200385,157,522,2746,1667,1079,682,2022
Plácido de Castro,1200385,185,520,2607,1583,1024,627,2023
Porto Acre,1200807,0,550,3472,1867,1605,779,2019
Porto Acre,1200807,0,526,3462,1851,1611,835,2020
Porto Acre,1200807,284,524,3316,1768,1548,884,2021
Porto Acre,1200807,266,533,3188,1680,1508,895,2022
Porto Acre,1200807,349,536,3161,1671,1490,781,2023
Porto Walter,1200393,193,503,2973,1606,1367,588,2019
Porto Walter,1200393,132,421,3025,1508,1517,698,2020
Porto Walter,1200393,341,533,2931,1470,1461,820,2021
Porto Walter,1200393,295,425,2678,1393,1285,723,2022
Porto Walter,1200393,353,515,2583,1346,1237,795,2023
Rio Branco,1200401,5549,11437,59986,33624,26362,16635,2019
Rio Branco,1200401,5398,11005,59215,32804,26411,16739,2020
Rio Branco,1200401,4742,9697,56946,31260,25686,17052,2021
Rio Branco,1200401,5270,9691,55840,30973,24867,17459,2022
Rio Branco,1200401,5229,10291,54683,30583,24100,16819,2023
Rodrigues Alves,1200427,846,600,3300,1845,1455,955,2019
Rodrigues Alves,1200427,815,592,3316,1820,1496,999,2020
Rodrigues Alves,1200427,1014,607,3150,1668,1482,1030,2021
Rodrigues Alves,1200427,1031,542,2973,1586,1387,959,2022
Rodrigues Alves,1200427,1021,645,2829,1492,1337,909,2023
Santa Rosa do Purus,1200435,78,271,2162,1255,907,212,2019
Santa Rosa do Purus,1200435,68,279,2180,1218,962,275,2020
Santa Rosa do Purus,1200435,75,336,2035,1238,797,291,2021
Santa Rosa do Purus,1200435,101,311,1966,1167,799,414,2022
Santa Rosa do Purus,1200435,42,334,1923,1154,769,485,2023
Sena Madureira,1200500,351,994,7637,4354,3283,1556,2019
Sena Madureira,1200500,315,990,7670,4222,3448,1642,2020
Sena Madureira,1200500,226,877,7458,4136,3322,1752,2021
Sena Madureira,1200500,336,1010,7430,4236,3194,1948,2022
Sena Madureira,1200500,389,1126,7089,4191,2898,1978,2023
Senador Guiomard,1200450,307,844,4183,2433,1750,925,2019
Senador Guiomard,1200450,350,851,4238,2398,1840,895,2020
Senador Guiomard,1200450,323,813,4157,2288,1869,974,2021
Senador Guiomard,1200450,365,739,4159,2328,1831,958,2022
Senador Guiomard,1200450,381,782,3845,2188,1657,856,2023
Tarauacá,1200609,209,1605,10556,6315,4241,1867,2019
Tarauacá,1200609,268,1537,10554,6206,4348,2087,2020
Tarauacá,1200609,242,1403,10415,6132,4283,2162,2021
Tarauacá,1200609,302,1565,10016,5906,4110,2337,2022
Tarauacá,1200609,317,1686,10289,6175,4114,2361,2023
Xapuri,1200708,241,444,2868,1670,1198,673,2019
Xapuri,1200708,243,498,2720,1565,1155,639,2020
Xapuri,1200708,184,431,2648,1551,1097,609,2021
Xapuri,1200708,201,486,2675,1643,1032,643,2022
Xapuri,1200708,210,499,2757,1690,1067,592,2023
