Cód.,Município,pop_0_3,pop_4_5,pop_6_10,pop_11_14,pop_6_14,pop_15_17,ano
1200013,Acrelândia (AC),1168,546,1367,1099,2466,860,2019
1200013,Acrelândia (AC),1185,555,1388,1116,2503,873,2020
1200013,Acrelândia (AC),1203,563,1408,1132,2541,886,2021
1200013,Acrelândia (AC),1073,502,1256,1010,2266,790,2022
1200013,Acrelândia (AC),1097,513,1284,1033,2317,808,2023
1200054,Assis Brasil (AC),643,327,746,655,1401,464,2019
1200054,Assis Brasil (AC),653,332,758,665,1423,472,2020
1200054,Assis Brasil (AC),663,337,770,675,1445,479,2021
1200054,Assis Brasil (AC),702,357,815,715,1530,507,2022
1200054,Assis Brasil (AC),722,367,839,736,1575,522,2023
1200104,Brasiléia (AC),1838,946,2341,1814,4155,1341,2019
1200104,Brasiléia (AC),1868,961,2379,1843,4222,1363,2020
1200104,Brasiléia (AC),1898,976,2416,1873,4289,1384,2021
1200104,Brasiléia (AC),1819,936,2316,1795,4111,1327,2022
1200104,Brasiléia (AC),1883,969,2398,1859,4257,1374,2023
1200138,Bujari (AC),681,378,959,797,1756,595,2019
1200138,Bujari (AC),691,383,974,809,1783,604,2020
1200138,Bujari (AC),701,389,988,821,1809,613,2021
1200138,Bujari (AC),857,475,1207,1003,2210,749,2022
1200138,Bujari (AC),885,491,1247,1036,2283,774,2023
1200179,Capixaba (AC),760,409,1114,852,1967,692,2019
1200179,Capixaba (AC),778,418,1140,872,2013,708,2020
1200179,Capixaba (AC),795,428,1166,892,2058,724,2021
1200179,Capixaba (AC),673,362,987,755,1742,613,2022
1200179,Capixaba (AC),690,371,1012,774,1786,629,2023
1200203,Cruzeiro do Sul (AC),6079,3032,8041,6703,14744,5386,2019
1200203,Cruzeiro do Sul (AC),6127,3056,8105,6755,14860,5428,2020
1200203,Cruzeiro do Sul (AC),6175,3080,8167,6808,14975,5470,2021
1200203,Cruzeiro do Sul (AC),6321,3153,8361,6969,15330,5600,2022
1200203,Cruzeiro do Sul (AC),6544,3264,8656,7215,15872,5798,2023
1200252,Epitaciolândia (AC),1284,658,1655,1246,2900,925,2019
1200252,Epitaciolândia (AC),1304,668,1681,1265,2945,939,2020
1200252,Epitaciolândia (AC),1323,678,1706,1284,2990,953,2021
1200252,Epitaciolândia (AC),1308,670,1686,1269,2955,942,2022
1200252,Epitaciolândia (AC),1342,688,1730,1302,3032,967,2023
1200302,Feijó (AC),3043,1473,3841,2985,6825,2327,2019
1200302,Feijó (AC),3053,1477,3852,2993,6846,2334,2020
1200302,Feijó (AC),3061,1481,3863,3002,6866,2341,2021
